Unnamed: 0,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,police,police
5,pensais,thought
6,aide,help
7,demande,request
8,genre,kind
9,laisser,let
10,car,because
11,mettre,to put
12,aucun,no
13,laisse,leash
14,eux,them
15,ville,city
16,parlé,speak
17,arrivé,come
18,devrait,should
19,bébé,baby
20,longtemps,long time
22,pendant,while
23,revoir,meet again
24,place,square
25,parle,speak
26,compris,understood
27,savais,knew
28,étaient,were
29,attention,Warning
30,voici,here is
31,affaire,case
32,donner,give
33,leurs,their
34,donné,given
35,corps,body
36,endroit,place
38,façon,way
39,écoute,listen
40,dont,whose
41,trouve,find
42,premier,first
43,première,first
44,côté,side
45,pouvoir,power
46,vieux,old
47,sois,be
48,matin,morning
49,tellement,so much
50,enfant,child
51,point,point
52,venu,came
53,suite,after
54,pardon,sorry
55,venez,come
56,devant,in front of
57,vers,towards
58,minutes,minutes
59,chambre,bedroom
60,mis,placed
61,belle,beautiful
62,droit,law
63,aimerais,would like to
64,aujourd'hui,today
65,mari,husband
66,cause,cause
67,enfin,finally
68,espère,hope
69,eau,water
70,attendez,Wait
71,parti,left
72,nouvelle,new
73,arrêter,Stop
74,dirait,would say
75,terre,Earth
76,compte,account
77,donne,given
78,loin,far
79,fin,end
80,chérie,sweetheart
81,gros,large
82,plutôt,rather
83,aura,will have
84,filles,girls
85,jouer,to play
86,bureau,office
